City,Country,Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Córdoba,AR,57.7,93,90,13.87,-31.41,-64.18
Katobu,ID,74.82,82,82,3.36,-4.94,122.53
Puerto El Triunfo,SV,86.95,70,40,4.7,13.28,-88.55
Kāman,IN,73.53,20,0,4.09,27.65,77.27
Pereslavl'-Zalesskiy,RU,30.36,96,69,9.62,56.74,38.86
Kumul,CN,44.94,52,0,3.49,42.8,93.45
Lunenburg,CA,59.9,89,98,8.59,44.38,-64.32
Lobva,RU,30.02,98,0,5.59,59.19,60.52
Pangnirtung,CA,26.6,92,90,3.36,66.15,-65.71
Arkhangelsk,RU,26.6,92,82,2.24,64.54,40.54
Yüksekova,TR,48.2,49,10,6.93,37.57,44.29
Muli,MV,82.04,80,99,13.49,2.92,73.57
Beira,MZ,77.0,88,20,12.75,-19.84,34.84
Sechura,PE,72.81,60,25,16.82,-5.56,-80.82
Gornozavodsk,RU,30.34,99,61,5.66,58.38,58.32
Natal,BR,78.8,74,20,6.93,-5.79,-35.21
Tautira,PF,86.0,66,20,14.99,-17.73,-149.15
Olafsvik,IS,42.48,86,100,14.25,64.89,-23.71
Bonthe,SL,78.39,84,100,4.7,7.53,-12.51
Labuhan,ID,80.26,80,11,5.93,-6.88,112.21
Yumen,CN,43.18,49,0,8.43,40.28,97.2
Yanam,IN,75.22,94,98,3.71,16.73,82.22
San Andrés,CO,80.6,83,90,3.36,12.58,-81.7
Springbok,ZA,54.5,41,0,8.97,-29.66,17.89
Bojnourd,IR,51.8,42,0,4.7,37.47,57.33
Fernandina Beach,US,77.0,94,90,11.41,30.67,-81.46
Moranbah,AU,75.76,61,0,14.56,-22.0,148.05
Seoul,KR,53.24,71,90,3.06,37.57,126.98
Rawlins,US,58.03,30,1,28.86,41.79,-107.24
Samarai,PG,79.84,84,95,7.87,-10.62,150.67
Bandi̇̄pur,NP,58.75,88,0,2.86,27.93,84.42
Sisimiut,GL,33.12,95,100,16.4,66.94,-53.67
Cap Malheureux,MU,73.0,78,1,5.99,-19.98,57.61
Ormara,PK,80.24,27,6,12.19,25.21,64.64
Birecik,TR,59.0,58,32,2.8,37.03,37.99
Kununurra,AU,78.8,94,0,3.36,-15.77,128.73
Khandyga,RU,14.05,95,96,4.52,62.67,135.6
Denpasar,ID,78.8,94,20,1.12,-8.65,115.22
Coos Bay,US,67.42,68,1,9.17,43.37,-124.22
Acaraú,BR,79.12,74,18,18.3,-2.89,-40.12
Cockburn Town,TC,84.2,66,40,6.93,21.46,-71.14
Oistins,BB,84.2,70,20,9.17,13.07,-59.53
Gladstone,AU,73.4,73,75,10.29,-23.85,151.25
Adrar,MR,86.38,15,0,7.07,20.5,-10.07
Nioro,GM,78.96,78,78,7.23,13.35,-15.75
Bereket,TM,59.2,88,16,5.77,39.24,55.52
Körösladány,HU,41.0,93,40,6.93,46.97,21.08
Puerto Escondido,MX,87.8,66,75,6.93,15.85,-97.07
Mukhen,RU,42.51,63,98,7.45,48.1,136.1
Puerto Palomas,MX,87.8,6,1,4.7,31.77,-107.62
High Level,CA,24.8,68,75,13.87,58.52,-117.14
New Iberia,US,84.78,58,20,9.17,30.0,-91.82
Puerto Colombia,CO,80.6,83,40,4.7,10.99,-74.95
Kisangani,CD,71.42,97,100,2.26,0.52,25.2
Evensk,RU,33.89,89,87,6.06,61.95,159.23
Kharp,RU,20.26,96,100,4.14,66.8,65.81
Sandwick,GB,48.2,93,100,24.16,60.0,-1.25
Albury,AU,55.27,93,100,1.83,-36.08,146.92
Japura,ID,74.26,97,98,1.39,-0.32,102.35
Comodoro Rivadavia,AR,51.8,53,63,19.46,-45.87,-67.5
Uray,RU,36.36,87,98,7.58,60.12,64.78
Flin Flon,CA,30.2,46,75,3.36,54.77,-101.86
Mogadishu,SO,79.02,83,6,13.38,2.04,45.34
Port Augusta,AU,69.58,88,90,8.05,-32.5,137.77
Benghazi,LY,69.57,68,2,12.33,32.12,20.07
Camaná,PE,64.92,67,17,4.54,-16.62,-72.71
Santa Ana,US,78.06,60,20,10.29,33.75,-117.87
North Platte,US,60.58,42,1,12.75,41.12,-100.77
Ngunguru,NZ,63.93,66,100,7.18,-35.62,174.5
